eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude
2.02E+11,2015,1,6,,0,,217,United States,1,North America,Colorado,Colorado Springs,38.824856,-104.81311
2.02E+11,2015,2,10,,0,,217,United States,1,North America,North Carolina,Chapel Hill,35.896708,-79.009738
2.02E+11,2015,2,17,,0,,217,United States,1,North America,Florida,Melbourne,28.122223,-80.689149
2.02E+11,2015,2,18,,0,,217,United States,1,North America,Michigan,Kalamazoo,42.258525,-85.589194
2.02E+11,2015,2,23,,0,,217,United States,1,North America,Ohio,Kent,41.151766,-81.348654
2.02E+11,2015,3,9,,0,,217,United States,1,North America,Nevada,Reno,39.530155,-119.8142
2.02E+11,2015,3,20,,0,,217,United States,1,North America,Louisiana,New Orleans,29.984368,-90.257301
2.02E+11,2015,5,3,,0,,217,United States,1,North America,Texas,Garland,32.959034,-96.641877
2.02E+11,2015,6,17,,0,,217,United States,1,North America,South Carolina,Charleston,32.787474,-79.933101
2.02E+11,2015,6,22,,0,,217,United States,1,North America,Tennessee,Knoxville,35.967509,-83.946033
2.02E+11,2015,6,23,,0,,217,United States,1,North America,Georgia,Macon,32.823281,-83.664394
2.02E+11,2015,6,24,,0,,217,United States,1,North America,North Carolina,Charlotte,35.213923,-80.790063
2.02E+11,2015,6,26,,0,,217,United States,1,North America,South Carolina,Warrenville,33.505056,-81.818259
2.02E+11,2015,7,15,,0,,217,United States,1,North America,Texas,Houston,29.779987,-95.327984
2.02E+11,2015,7,16,,0,,217,United States,1,North America,Tennessee,Chattanooga,35.031789,-85.184718
2.02E+11,2015,7,16,,0,,217,United States,1,North America,Tennessee,Chattanooga,35.095083,-85.253424
2.02E+11,2015,7,19,,0,,217,United States,1,North America,Illinois,Aurora,41.758165,-88.239197
2.02E+11,2015,7,23,,0,,217,United States,1,North America,Louisiana,Lafayette,30.201966,-92.045686
2.02E+11,2015,8,1,,0,,217,United States,1,North America,Louisiana,New Orleans,29.950112,-90.096663
2.02E+11,2015,8,2,,0,,217,United States,1,North America,New Mexico,Las Cruces,32.294582,-106.754459
2.02E+11,2015,8,2,,0,,217,United States,1,North America,New Mexico,Las Cruces,32.319945,-106.790007
2.02E+11,2015,8,14,,0,,217,United States,1,North America,New Mexico,Las Cruces,32.292512,-106.773223
2.02E+11,2015,9,4,,0,,217,United States,1,North America,Washington,Pullman,46.715956,-117.179453
2.02E+11,2015,9,13,,0,,217,United States,1,North America,Texas,Bullard,32.137933,-95.323685
2.02E+11,2015,9,30,,0,,217,United States,1,North America,California,Thousand Oaks,34.184851,-118.90688
2.02E+11,2015,11,1,,0,,217,United States,1,North America,Mississippi,Tupelo,34.308638,-88.709435
2.02E+11,2015,11,4,,0,,217,United States,1,North America,California,Merced,37.365797,-120.424771
2.02E+11,2015,11,6,,0,,217,United States,1,North America,California,Ingelwood,33.959535,-118.348342
2.02E+11,2015,11,15,,0,,217,United States,1,North America,Connecticut,Meriden,41.519714,-72.840257
2.02E+11,2015,11,19,,0,,217,United States,1,North America,Virginia,Falls Church,38.861472,-77.146621
2.02E+11,2015,11,23,,0,,217,United States,1,North America,Minnesota,Minneapolis,44.993387,-93.304452
2.02E+11,2015,11,27,,0,,217,United States,1,North America,Colorado,Colorado Springs,38.880893,-104.849045
2.02E+11,2015,12,2,,0,,217,United States,1,North America,California,San Bernardino,34.07577,-117.277924
2.02E+11,2015,12,5,,0,,217,United States,1,North America,New York,New York City,40.781593,-73.91357
2.02E+11,2015,12,8,,0,,217,United States,1,North America,North Dakota,Grand Forks,47.900053,-97.044649
2.02E+11,2015,12,11,,0,,217,United States,1,North America,California,Coachella,33.69288,-116.187442
2.02E+11,2015,12,26,,0,,217,United States,1,North America,California,Tracy,37.764563,-121.452503
2.02E+11,2015,12,30,,0,,217,United States,1,North America,Pennsylvania,Colerain,39.896069,-76.056449
2.02E+11,2015,12,31,,0,,217,United States,1,North America,Pennsylvania,Strasburg,39.983107,-76.184353